Provinsi, Kab Kota, Kecamatan, Desa, Tanggal,Waktu, Satelit, Confidence, Latitude, Longitude 
Sulawesi Tengah,PARIGI MOUTONG,Tinombo Selatan,Maninili Barat,15-03-2023,11:44 WIB,SNPP,High,0.05527125,120.07369995
Sulawesi Tengah,PARIGI MOUTONG,Tinombo Selatan,Maninili Barat,15-03-2023,11:44 WIB,SNPP,High,0.05419543,120.07240295
Jawa Timur,MOJOKERTO,Ngoro,Lolawang,16-03-2023,13:06 WIB,SNPP,Low,-7.56039381,112.60378265
Jawa Timur,PASURUAN,Gempol,Sumbersuko,16-03-2023,13:06 WIB,SNPP,Low,-7.62999392,112.66738129
Sulawesi Tenggara,KONAWE,Morosi,Porara,15-03-2023,11:44 WIB,SNPP,Low,-3.87117958,122.407547
Sumatera Utara,KARO,Laubaleng,Mbal-Mbal Petarum,15-03-2023,13:27 WIB,SNPP,Low,3.08217335,98.02529907
Riau,ROKAN HILIR,Sinaboi,Darussalam,15-03-2023,13:27 WIB,SNPP,Medium,2.16617084,101.04454803
Kalimantan Barat,MELAWI,Nanga Pinoh,Labai Mandiri,15-03-2023,13:27 WIB,SNPP,Medium,-0.40937394,111.76338196
Aceh,ACEH TENGGARA,Leuser,Suka Damai,15-03-2023,13:27 WIB,SNPP,Medium,3.09511185,97.9786911
Riau,ROKAN HILIR,Sinaboi,Darussalam,15-03-2023,13:27 WIB,SNPP,Medium,2.1577878,101.07641602
Kepulauan Riau,KOTA BATAM,Galang,Rempang Cate,15-03-2023,13:27 WIB,SNPP,Medium,0.88046563,104.14381409
Riau,ROKAN HILIR,Sinaboi,Darussalam,15-03-2023,13:27 WIB,SNPP,Medium,2.15204287,101.08491516
Kepulauan Riau,BINTAN,Telok Sebong,Pengudang,15-03-2023,13:27 WIB,SNPP,Medium,1.15375316,104.49475098
Kalimantan Barat,LANDAK,Jelimpo,Mandor Kiru,15-03-2023,13:27 WIB,SNPP,Medium,0.33215225,110.13413239
Kalimantan Barat,MEMPAWAH,Mempawah Timur,Parit Banjar,15-03-2023,13:27 WIB,SNPP,Medium,0.35267478,109.0519104
Kepulauan Riau,KOTA BATAM,Galang,Rempang Cate,15-03-2023,13:27 WIB,SNPP,Medium,0.87993228,104.14031982
Kalimantan Barat,SANGGAU,Kapuas,Semerangkai,15-03-2023,13:27 WIB,SNPP,Medium,0.00386134,110.52059174
Sulawesi Tengah,PARIGI MOUTONG,Toribulu,Tomoli,15-03-2023,11:44 WIB,SNPP,Medium,-0.38328302,120.00167084
Sulawesi Tengah,SIGI,Marawola,Baliase,15-03-2023,11:44 WIB,SNPP,Medium,-0.93960381,119.85073853
